name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
college station,2023-02-20,28.6,15.3,21.6,29,15.3,21.7,17.3,78.2,0,0,0,,0,0,52.7,33.7,207.9,1015.8,59.7,14.6,120.3,10.4,6,10,2023-02-20T07:01:16,2023-02-20T18:17:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664"
college station,2023-02-21,28.1,18.2,22.3,29,18.2,22.5,17.9,77.5,0,0,0,,0,0,61.5,39.6,177.5,1008.6,52.2,15.3,133.4,11.6,6,10,2023-02-21T07:00:16,2023-02-21T18:18:02,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901"
college station,2023-02-22,29.7,21.5,24.5,29.3,21.5,24.4,17.6,67.8,0.063,100,4.17,rain,0,0,57.1,35.1,178.2,1004.2,50.5,15.4,118.8,10.2,6,10,2023-02-22T06:59:15,2023-02-22T18:18:48,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664"
college station,2023-02-23,27.1,16.4,22.2,28.1,16.4,22.3,15.5,68.3,0,0,0,,0,0,38.9,28,47.6,1013.9,80.2,14.2,99.9,8.4,6,10,2023-02-23T06:58:13,2023-02-23T18:19:34,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-24,20.2,13.6,16.3,20.2,13.6,16.3,8.2,59.3,0,0,0,,0,0,31.7,22.5,354.4,1021.8,99.9,16,62.1,5.2,3,10,2023-02-24T06:57:11,2023-02-24T18:20:19,0.15,Overcast,Cloudy skies throughout the day.,cloudy,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664"
college station,2023-02-25,22.4,11.4,15.4,22.4,11.4,15.4,10.5,72.7,0,0,0,,0,0,20.5,17.2,345,1023.2,72.5,16,82,7,4,10,2023-02-25T06:56:07,2023-02-25T18:21:03,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901"
college station,2023-02-26,26.9,15.9,21.3,27.5,15.9,21.4,16,73,0,0,0,,0,0,56,35.8,173,1014,81.2,15.3,79.3,6.9,4,10,2023-02-26T06:55:03,2023-02-26T18:21:48,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-27,26.9,13.8,21.6,26.5,13.8,21.6,5.3,42.9,0.063,100,4.17,rain,0,0,48.4,28.4,254.5,1009.7,41.3,15.1,143.4,12.5,7,10,2023-02-27T06:53:58,2023-02-27T18:22:32,0.25,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901"
college station,2023-02-28,29.1,11.3,20.1,28.6,11.3,20.1,13.1,67,0,0,0,,0,0,33.5,20.5,177.4,1010.2,27.9,12.9,126.7,10.9,6,30,2023-02-28T06:52:53,2023-02-28T18:23:15,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901"
college station,2023-03-01,27.6,21.1,24.1,29,21.1,24.4,19.6,77.2,0,0,0,,0,0,46.9,30.1,167.1,1007.8,78.6,15.1,52.1,4.6,3,60,2023-03-01T06:51:46,2023-03-01T18:23:59,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901"
college station,2023-03-02,26.5,16.5,23.2,26.5,16.5,23.2,20.5,84.9,8.129,100,8.33,rain,0,0,53.3,36.3,153.4,1001.4,94,13.1,36,3.1,2,30,2023-03-02T06:50:39,2023-03-02T18:24:42,0.34,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-03,20.4,9.8,15,20.4,7.4,14.9,6.3,57.9,3.195,100,12.5,rain,0,0,49.1,31.9,297,1006.4,13.9,15.9,145.5,12.5,7,10,2023-03-03T06:49:32,2023-03-03T18:25:24,0.38,Rain,Clear conditions throughout the day with early morning rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-04,25.5,6.9,16.6,25.5,6.9,16.6,7.7,59.2,0,0,0,,0,0,16.6,17.6,153.6,1014,0,16,142.9,12.4,7,10,2023-03-04T06:48:24,2023-03-04T18:26:07,0.41,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-05,26.4,11.2,18.6,26.4,11.2,18.6,11.3,66.4,0,0,0,,0,0,33.5,21.9,163.7,1016.8,1.3,14.9,144.9,12.4,7,10,2023-03-05T06:47:15,2023-03-05T18:26:48,0.44,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-06,27.5,14.2,20.7,28.2,14.2,20.8,16.2,76.8,0,0,0,,0,0,20.5,15.1,178.4,1015.8,67.3,16,78.5,6.8,4,10,2023-03-06T06:46:06,2023-03-06T18:27:30,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-07,27,19.4,23.1,28.5,19.4,23.3,19.6,81.2,0,0,0,,0,0,24.1,17.2,148.1,1015.4,89.1,14.3,56,5,2,60,2023-03-07T06:44:56,2023-03-07T18:28:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-08,28.5,19.4,23.8,28.9,19.4,24,18.1,72.3,0,0,0,,0,0,38.9,21.1,157.1,1016.9,57.2,14.2,91.3,7.9,5,30,2023-03-08T06:43:45,2023-03-08T18:28:53,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-09,28.5,19.3,23.5,29.1,19.3,23.6,18.1,73.6,0,0,0,,0,0,31.3,17.8,180.6,1016.1,72.6,13.8,93.3,8,6,30,2023-03-09T06:42:35,2023-03-09T18:29:33,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-10,21.5,15.3,17.6,21.5,15.3,17.6,14.3,81.5,0,0,0,,0,0,29.5,19.6,7.4,1017.6,74.6,16,69.5,6,4,10,2023-03-10T06:41:23,2023-03-10T18:30:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-11,29.8,15.3,22.6,30.4,15.3,22.8,17.2,74.2,0,0,0,,0,0,50.4,33,179.3,1008.2,39.7,13.3,128.7,11.1,6,60,2023-03-11T06:40:12,2023-03-11T18:30:54,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-12,22.1,15.9,19.3,22.1,15.9,19.3,14.9,75.9,0,0,0,,0,0,40.7,28.8,325.4,1009,85.6,15.5,53.3,4.5,2,30,2023-03-12T07:39:00,2023-03-12T19:31:34,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-13,20.3,10.3,15,20.3,10.3,15,4.8,52,0,0,0,,0,0,37.1,24.3,35.5,1020.3,0,16,131.4,11.3,7,10,2023-03-13T07:37:48,2023-03-13T19:32:14,0.72,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-14,19.6,9.9,14.1,19.6,8.1,14,3.5,49.4,0,0,0,,0,0,27.7,17.8,55.4,1023.6,46.8,16,113.4,9.9,6,10,2023-03-14T07:36:35,2023-03-14T19:32:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-15,22.8,8.8,15.7,22.8,6.8,15.4,6,54.2,0,0,0,,0,0,43.8,26.2,136.4,1021.7,39.7,16,136.5,11.8,7,10,2023-03-15T07:35:22,2023-03-15T19:33:33,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-16,23.2,16,19.8,23.2,16,19.8,17.2,84.9,8.873,100,20.83,rain,0,0,63.1,40.6,171.4,1011,78.9,15.2,26.3,2.3,1,60,2023-03-16T07:34:09,2023-03-16T19:34:12,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-03-17,14.7,6.4,9.9,14.7,2.2,7.8,1.4,59.2,10.458,100,45.83,rain,0,0,58,34.8,346.7,1018.6,47.5,16,97.4,8.5,6,10,2023-03-17T07:32:56,2023-03-17T19:34:51,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
